P8_1,P8_2,P8_3,P8_4,P8_5,P8_6_1,P8_7_1,P8_6_2,P8_7_2,P8_8_2,P8_9_2,P8_10_2,P8_6_3,P8_7_3,P8_8_3,P8_9_3,P8_10_3,P8_6_4,P8_7_4,P8_8_4,P8_9_4,P8_10_4,P8_6_5,P8_7_5,P8_8_5,P8_9_5,P8_10_5,P8_6_6,P8_6_7,P8_6_8,P8_7_8,P8_8_8,P8_9_8,P8_10_8,FILTRO_1_SECC8,P8_11,P8_12_1,P8_12_2,P8_12_3,P8_12_4,P8_12_5,P12_1
1,,,,,1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,1.0,2.0,,,,,1.0,2.0,,,,,,2
2,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,1.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,1.0,1.0,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,2.0,,,,,1.0,1.0,3.0,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,2.0,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,2.0,,2.0,,,,,2.0,,,,,2.0,,,,,1.0,1.0,3.0,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,2.0,,1.0,2.0,1.0,,1.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,3.0,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,2.0,,1.0,2.0,3.0,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1
1,,,,,1.0,2.0,1.0,2.0,3.0,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,1.0,1.0,2.0,,,,,2.0,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,2.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,1.0,2.0,3.0,,,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2
1,,,,,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
2,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1
1,,,,,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,3.0,,,2.0,,,,,1.0,1.0,3.0,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
1,,,,,2.0,,2.0,,,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,2.0,1.0,,1.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,1.0,1.0,2.0,,,,,2.0,,,,,2.0,,,,,1.0,2.0,3.0,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,2.0,1.0,2.0,3.0,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,1.0,1.0,3.0,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,1
1,,,,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,,1.0,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,1.0,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,1.0,1.0,3.0,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2
1,,,,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
1,,,,,2.0,,1.0,2.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
1,,,,,2.0,,1.0,2.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1
2,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,2.0,2.0,,,,,1.0,1.0,2.0,4.0,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
1,,,,,2.0,,2.0,,,,,1.0,2.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,1
2,2.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
1,,,,,2.0,,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
1,,,,,2.0,,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2
2,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,2.0,,,,,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,1.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2
1,,,,,1.0,1.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2
1,,,,,2.0,,2.0,,,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
1,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,2.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,1.0,1.0,3.0,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,2.0,1.0,2.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2
2,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,1.0,2.0,3.0,,,1.0,1.0,3.0,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,2.0,,2.0,,,,,1.0,2.0,2.0,1.0,1.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
2,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,1
