P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_2_1,P6_3_1,P6_4_1,P6_4A_1,P6_2_2,P6_3_2,P6_4_2,P6_4A_2,P6_2_3,P6_3_3,P6_4_3,P6_4A_3,P6_2_4,P6_3_4,P6_4_4,P6_4A_4,P6_2_5,P6_3_5,P6_4_5,P6_4A_5,P6_2_6,P6_3_6,P6_4_6,P6_4A_6,P6_2_7,P6_3_7,P6_4_7,P6_4A_7,P6_2_8,P6_3_8,P6_4_8,P6_4A_8,P6_2_9,P6_3_9,P6_4_9,P6_4A_9,P6_5,P6_6,P6_7,P6_8_01,P6_8_02,P6_8_03,P6_8_04,P6_8_05,P6_8_06,P6_8_07,P6_8_08,P6_8_09,P6_8_10,P6_8_11,P6_8_12,P6_8_13,P6_8_99,FILTRO_1_SECC6,P6_9,P6_10,P6_11,P6_12_1,P6_12_2,P6_12_3,P6_12_4,P6_12_5,P6_13,P6_14,P6_15,P6_16,P6_17,P6_18_1,P6_18_2,P6_18_3,P6_18_4,P6_18_5,P6_18_6,P6_18_9,P12_1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,1,2.0,2.0,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,2,,,,,,,,2
2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,2,,,,,,,,1
2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,3,,,,,,,,1
2,1,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,2,,,,,,,,2
2,2,1,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,,,2,,,,,,,,2
2,2,1,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,1,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,88.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,1
2,2,1,1,2,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,1,2,2,2,2,,,,1,2.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,2,,,,,,,,1
2,2,1,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,88.0,,2.0,,,,,,2.0,,,,2,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,1,1.0,2.0,,2,,,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,1.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,,,,,,2.0,,,,1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2
2,2,2,2,2,1,1.0,2.0,,1,1.0,2.0,,2,,,,2,,,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,,,,,,2.0,,,,3,,,,,,,,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1.0,2.0,,2,,,,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2
2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,88.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,2,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
2,2,2,1,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,,,,,,2.0,,,,2,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,,,,,,,,1
2,2,2,2,1,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,,,,,,2.0,,,,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1
2,2,2,2,2,1,2.0,2.0,,1,1.0,2.0,,2,,,,2,,,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,,,,,2.0,,,,2,,,,,,,,2
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,,,,,,2.0,,,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,,,,,,,,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,2
2,2,2,1,2,1,1.0,2.0,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,,,,,,2.0,,,,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,1,2.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,,,,2.0,,,,2,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,2,2,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,,,,,,2.0,,,,2,,,,,,,,1
1,2,2,2,2,2,,,,2,,,,1,2.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,3,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,88.0,,2.0,,,,,,2.0,,,,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,3,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,2,,,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,88.0,,2.0,,,,,,2.0,,,,2,,,,,,,,1
2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,2
2,2,2,2,2,1,2.0,2.0,,1,2.0,2.0,,2,,,,2,,,,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,88.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,,,,,,,,2
2,2,2,1,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,5.0,2.0,,,,,,2.0,,,,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,3,,,,,,,,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2,,,,,,,,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2,,,,,,,,2
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
2,2,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
2,2,1,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,,,,,,,,1
2,2,2,2,2,1,1.0,2.0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,88.0,,2.0,,,,,,2.0,,,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,,,,,,,,1
2,1,1,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3,,,,,,,,1
2,2,1,2,2,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,,,,,,,,1
2,2,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,3,,,,,,,,1
